question,answer
Какие основания для получения?,"Заявителем является родитель (усыновитель) ребенка (детей), являющийся гражданином Российской Федерации, имеющим место жительства в Санкт-Петербурге, в случае если ребенок (дети) в отношении которых подается заявление являются гражданами Российской Федерации, имеющими место жительства в Санкт-Петербурге."
Какие условия являются обязательными для получения?,"ребенок - гражданин РФ, имеющий место жительства (постоянную регистрацию) в СПб
И
один из родителей (усыновителей) или оба родителя (усыновителя) - граждане РФ, имеющие место жительства (постоянную регистрацию) в СПб;

Мать - встала на медицинский учет по поводу беременности в учреждении здравоохранения в срок до 20 недель (включительно)
ИЛИ
ребенка усыновили в возрасте до шести месяцев;

Обращение последовало не позднее полутора лет со дня рождения ребенка."
Как оформлять услугу при рождении (усыновлении) нескольких детей?,При наличии в семье двух и более детей единовременная компенсационная выплата назначается на каждого ребенка
Какая сумма выплат?,"Единовременная компенсационная выплата при рождении первого ребенка - с 01.04.2022 - 36168 руб.; с 01.01.2023 - 39141 руб.
при рождении второго ребенка с 01.04.2022 - 48227 руб.; с 01.01.2023 - 52191 руб.
при рождении третьего и последующих детей с 01.04.2022 - 60280 руб.; с 01.01.2023 - 65232 руб"
Кому не положено?,"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
Как определяется размер выплат?,"Для определения размера единовременной компенсационной выплаты учитываются дети, воспитываемые и проживающие в семье заявителя, в том числе падчерицы и пасынки, совершеннолетние дети независимо от их места жительства, а также умершие дети, рожденные (усыновленные) матерью ребенка."
Какие документы удостоверяют личность?,"паспорт гражданина РФ ил временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено)."
Какие документы предоставить при обращении представителя?,"1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность"
Какие заявления брать у заявителя?,Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская».
Какие дополнительно документы должен предоставить заявитель?,"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
Какие основания для отказа в приеме документов?," непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
Какие основания для отказа в предоставлении услуги?,"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
Срок предоставления услуги?,"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
В каком случае учитываются в составе семьи пасынки и падчерицы?,"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
"Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль»)?","На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) администрация какого района принимает решение?
б) сроки назначения?
","В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"
При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей?,"В соответствии с информацией, полученной посредством межведомственного взаимодействия от органов ЗАГСа, очередность рождения детей можно определить по актовой записи в свидетельствах о рождении.
"
"Нужно ли запрашивать справку из другого субъекта Российской Федерации 
о неполучении аналогичных выплат при назначении ЕКВ при рождении ребенка (усыновлении в возрасте до шести месяцев) 
в случае переезда семьи в Санкт-Петербург, ранее аналогичную выплату получили 
по месту жительства.
","Нет, не нужно, так как в комплекте документов при назначении ЕКВ при рождении ребенка (усыновлении в возрасте до шести месяцев) указанная справка не требуется.
"
Кто может оформить услугу?," дети-сироты и дети, оставшиеся без попечения родителей, являющиеся гражданами Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге, в лице законных представителей (опекуна, попечителя, руководителя организации для детей-сирот и детей, оставшихся без попечения родителей);лица из числа детей-сирот и детей, оставшихся без попечения родителей, являющиеся гражданами Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге"
"Определение ""Дети-сироты""","граждане в возрасте до 18 лет, у которых умерли оба или единственный родитель;"
"Определение ""Дети, оставшиеся без попечения родителей""","граждане в возрасте до 18 лет, которые остались без попечения единственного родителя или обоих родителей в связи с лишением их родительских прав, ограничением их в родительских правах, признанием родителей безвестно отсутствующими, недееспособными (ограниченно дееспособными), объявлением их умершими, установлением судом факта утраты лицом попечения родителей, отбыванием родителями наказания в учреждениях, исполняющих наказание в виде лишения свободы, нахождением родителей в местах содержания под стражей подозреваемых и обвиняемых в совершении преступлений, уклонением родителей от воспитания своих детей или от защиты их прав и интересов, отказом родителей взять своих детей из образовательных организаций, медицинских организаций, организаций, оказывающих социальные услуги, а также в случае, если единственный родитель или оба родителя неизвестны, в иных случаях признания детей оставшимися без попечения родителей в установленном законом порядке;"
"Определение ""лица из числа детей-сирот и детей, оставшихся без попечения родителей""","граждане в возрасте от 18 до 23 лет, у которых, когда они находились в возрасте до 18 лет, умерли оба или единственный родитель, а также которые остались без попечения обоих или единственного родителя и имеют в соответствии с действующим законодательством право на дополнительные гарантии по социальной поддержке.
"
Как узнать назначена ли выплата?,"Сведения могут быть отражены в ЭСРН в разделе ""Примечания"""
Когда начинает предоставлять выплата?,"с месяца возникновения права на предоставление дополнительной меры социальной поддержки по оплате жилого помещения и коммунальных услуг, если заявление поступило не позднее шести месяцев с месяца возникновения указанного права;
с месяца подачи заявления, если заявление поступило по истечении шести месяцев с месяца возникновения права на предоставление дополнительной меры социальной поддержки по оплате жилого помещения и коммунальных услуг."
Какие документы удостоверяют личность?,"паспорт гражданина РФ;
временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено)  ИЛИ  Свидетельство о рождении ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык."
Какие документы предоставить при обращении представителя?,"1. документ, удостоверяющий личность доверенного лица по доверенности 2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении ИЛИ доверенность в простой письменной форме 3. документ, подтверждающий право законного представителя выступать от имени ребенка"
Какие документы могут подтвердить льготную категорию заявителя? ," вступившее в законную силу решение суда о лишении (ограничении) родителей родительских прав;
вступившее в законную силу решение суда о признании родителей безвестно отсутствующими (умершими);
вступившее в законную силу решение суда о признании родителей недееспособными (ограниченно дееспособными);
вступившее в законную силу решение суда об установлении факта отсутствия родительского попечения над ребенком;
письменное согласие матери и(или) отца ребенка на усыновление (удочерение);
вступивший в законную силу приговор суда о назначении наказания матери (отцу) ребенка в виде лишения свободы;
документ, подтверждающий нахождение ребенка-сироты в учреждении, исполняющем наказание в виде лишения свободы;
вступившее в законную силу постановление суда о принудительном лечении матери и(или) отца ребенка в медицинской организации, оказывающей психиатрическую помощь в стационарных условиях;
свидетельство о рождении, не содержащее сведений о матери и(или) отце ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
справка о рождении, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка, выданная компетентными органами иностранного государства, и ее нотариально удостоверенный перевод на русский язык;
свидетельство о смерти матери и(или) отца, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык."
Какие документы необходимо предоставить совершеннолетним?,"1. Справка об обучении по очной форме обучения в образовательной организации 2. Справка (сведения) из военного комиссариата о прохождении военной службы или увольнения с военной службы 3. Справка (сведения) о нахождении ребенка в учреждении, исполняющем наказание в виде лишения свободы. "
Какие документы подтверждают регистрацию заявителя?,Документы (сведения) о регистрации ребенка по месту жительства или пребывания.
Дополнительные документы по услуге,СНИЛС
Как подтвердить оплату ЖКХ?,"Документы, подтверждающие начисление платы за жилое помещение и коммунальные услуги, топливо и транспортные услуги для доставки этого топлива (квитанции о начислении платы за жилое помещение и коммунальные услуги, в том числе платы взноса на капитальный ремонт, платы за топливо и транспортные услуги для доставки этого топлива)"
За какой период предоставлять подтверждение оплаты ЖКХ?,"За месяц, предшествующий месяцу обращения."
Какой документ предоставить заявителю при оформлении гражданства?,"Справка, подтверждающая подачу документов и заявления в отношении ребенка-сироты и ребенка, оставшегося без попечения родителей, на прием в гражданство Российской Федерации (для детей-сирот и детей, оставшихся без попечения родителей, не имеющих документов, которыми в соответствии с федеральным законодательством в сфере гражданства Российской Федерации может быть удостоверено наличие у них гражданства Российской Федерации, до оформления наличия гражданства Российской Федерации)."
Какие основания для отказов в приеме документов?,"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
Какие основания для отказов в предоставлении услуги?,"отсутствие у заявителя права на предоставление государственной услуги;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
Какой результат?,принятие решения администрацией района о предоставлении меры социальной поддержки либо об отказе в предоставлении меры социальной поддержки
Какой срок предоставления? ,не более 15 рабочих дней.
Кто является получаетелм услуги? ,"единственные собственники, сособственники жилого помещения (в случае наличия в собственности нескольких жилых помещений - в одом жилом помещении по выбору):
- дети-сироты,
- дети, оставшиеся без попечения родителей,
- лица из числа детей-сирот и детей, оставшихся без попечения родителей,"
Какие условия должны быть выполнены для получения услуги? ,место жительства или место пребывания в Санкт-Петербурге
В какой период оформляется заявление?,Предоставляется однократно.
"Какой документ , удостоверяющий личность должен предоставить заявитель? "," Для ребенка-сироты в возрасте старше 14 лет (паспорт гражданина РФ или временное удостоверение личности, выданное на период его замены). Свидетельство о рождении ребенка-сироты (для детей-сирот в возрасте до 14 лет)."
Какие документы предоставить при обращении законного представителя?,"Документ, удостоверяющий личность законного представителя (представителя) получателя услуги и документ, подтверждающий полномочия законного представителя (представителя):

- акт органа опеки и попечительства о назначении опекуном или попечителем;
- акт органа исполнительной власти субъекта РФ о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для государственных организаций);
- акт учредителя о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для негосударственных организаций).  В случае представления документов представителем:
доверенность, оформленная в соответствии с действующим законодательством РФ, в том числе в простой письменной форме, подтверждающая наличие у представителя прав действовать от лица заявителя и определяющая условия и границы реализации права на получение государственной услуги; договор, содержащий указание на полномочия доверенного лица по представлению заявителя при предоставлении государственной услуги. Полномочия представителя могут возникать в силу указания закона либо акта уполномоченного на то государственного органа или органа местного самоуправления.
"
Какие документы предоставить для подтверждения льготной категории?," свидетельство о смерти родителей (родителя), выданное исполнительными органами государственной власти субъектов РФ или органами местного самоуправления субъектов РФ (кроме СПб);
решение суда о лишении (ограничении) родителей родительских прав; решение суда о признании родителей безвестно отсутствующими (умершими);
решение суда о признании родителей недееспособными;
решение суда о признании ребенка оставшимся без попечения родителей;
решение суда об уклонении родителей от воспитания и содержания ребенка без уважительных причин;
решение суда об исключении матери из актовой записи о рождении.
"
Какие документы заявителяю предоставить для подтверждения наличия собственности? ,"1. Выписка из ЕГРН 2. Документ, подтверждающий право собственности ребенка-сироты на жилое помещение
(в случае если право не зарегистрировано в Едином государственном реестре прав на недвижимое имущество и сделок с ним)"
Какие дополнительные документы предоставить заявителю?,СНИЛС
Какие основания для отказа в приеме документов?,Не предусмотрено
Какие основания для отказа в предоставлении услуги?,"представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя;
гражданин, в отношении которого подано заявление, не имеет права на предоставление дополнительной меры социальной поддержки."
